ACLED Actor1,ACLED Actor1 (group),ACLED Actor2,ACLED Admin1,ACLED Admin2,ACLED Admin3,ACLED Ally Actor1,ACLED Ally Actor2,ACLED CreatedOn,ACLED Event ID Cnty,ACLED Event ID No Cnty,ACLED Event SubType,ACLED Event SubTypeDesc,ACLED Event Type,ACLED Event TypeDesc,ACLED Location,ACLED Notes,ACLED Region,ACLED Source,ACLED SourceScale,ACLED Year,Geographic Area,ACLED Fatalities,ACLED Geo Precision,ACLED Geometrry,Acled Gwno,ACLED Inter1,ACLED Inter2,ACLED Interaction,ACLED Latitude,ACLED Longitude,Acled Pk,TimeFK Event Date
Police Forces of Nigeria (2015-),State Security Forces,Police Forces of Nigeria (2015-),Abia,Umuahia North,,,,12/12/2022 3:33,NIG28349,28349,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Umuahia,"On 15 October 2022, a policeman shot and killed his colleague in Umuahia (Umuahia North, Abia) following an argument. The details of the argument are unknown.",Western Africa,Premium Times (Nigeria),National,2022,South,1,1,Point,,1,1,11,5.5263,7.4896,4083963,20221015
Military Forces of Nigeria (2015-),State Security Forces,Military Forces of Nigeria (2015-),Imo,Oguta,,,,12/6/2022 15:53,NIG28909,28909,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Izombe,"On 28 November 2022, suspected security operatives dressed in military uniforms shot the security officers (presumed Military forces) guarding an oil well in Izombe (Oguta, Imo). The assailants invaded the area in armored cars, there are no further details.",Western Africa,Daily Trust (Nigeria),National,2022,South,0,1,Point,,1,1,11,5.6333,6.8666,4068208,20221128
Military Forces of Nigeria (2015-),State Security Forces,Police Forces of Nigeria (2015-),Lagos,Amowo-Odofin,,,,12/13/2022 9:05,NIG29012,29012,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Satellite Town,"On 3 December 2022, some naval officers clashed with policemen in Satellite town (Amowo-Odofin, Lagos) following an argument which ensued after the policemen on patrol duty flagged down the soldiers who were dressed in plain clothes. One policeman was stabbed and killed by the soldiers, many passers-by who attempted to intervene and an unspecified number of policemen were also wounded by the soldiers. The navy claimed that the policeman was not stabbed to death, and that it was the policemen and a mob who started hitting the soldiers before a policeman shot in the air and dispersed the crowd.",Western Africa,Daily Trust (Nigeria); Nigeria Punch,National,2022,South,1,1,Point,,1,1,11,6.4437,3.2522,4091266,20221203
Military Forces of Nigeria (2015-),State Security Forces,Police Forces of Nigeria (2015-),Ogun,Shagamu,,,,2/21/2023 9:05,NIG29996,29996,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Ogigo,"On 15 February 2023, soldiers from 174 battalion wounded an unspecified number of policemen and other persons when they attacked Ogigo police station (Shagamu, Ogun) and set it ablaze. The attack was a reprisal, for the murder of a soldier by a policeman who ran into the station [coded separately]. The military authorities claimed that the attack was carried out by a mob and not soldiers.",Western Africa,Daily Trust (Nigeria); Nigeria Punch,National,2023,South,0,1,Point,,1,1,11,6.6955,3.5117,4169404,20230215
Police Forces of Nigeria (2015-),State Security Forces,Police Forces of Nigeria (2015-),Kebbi,Birnin-Kebbi,,,,12/12/2022 3:33,NIG28350,28350,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Birnin Kebbi,"On 1 October 2022, a policeman stabbed and killed his colleague over a misunderstanding in Birnin Kebbi (Birnin-Kebbi, Kebbi).",Western Africa,Sahara Reporters; Daily Trust (Nigeria),National-Regional,2022,North West,1,1,Point,,1,1,11,12.4539,4.1975,4080329,20221001
Military Forces of Nigeria (2015-),State Security Forces,Military Forces of Nigeria (2015-),Borno,Damboa,,,,12/6/2022 15:53,NIG28708,28708,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Damboa,"On 17 November 2022, a soldier shot and killed another soldier and a humanitarian worker in Damboa (Damboa, Borno). The assailant also stabbed one helicopter pilot before he was shot and killed by other soldiers.",Western Africa,Twitter; Daily Post (Nigeria),New media-National,2022,North East,3,1,Point,,1,1,11,11.156,12.7576,4060350,20221117
Military Forces of Nigeria (2015-),State Security Forces,Police Forces of Nigeria (2015-),Lagos,Lagos Island,,,,12/6/2022 15:53,NIG28626,28626,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Lagos,"On 9 November 2022, soldiers beat up a policeman and an official of Lagos traffic management agency on Eko bridge in Lagos (Lagos Island, Lagos) after they reprimanded the soldiers for following the wrong traffic lane. Another set of soldiers who were on the right lane also joined their colleagues to beat up the victims who were later hospitalized.",Western Africa,Sahara Reporters,Regional,2022,South,0,1,Point,,1,1,11,6.4531,3.3958,4053964,20221109
Military Forces of Nigeria (2015-),State Security Forces,Islamic State (West Africa) and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Borno,Konduga,,,,1/10/2023 9:05,NIG29212,29212,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Mandarari,"On 14 December 2022, Nigerian troops clashed with presumed ISWAP/ Boko Haram fighters at Mandarari (Konduga, Borno). Casualties unknown.",Western Africa,"Risk and Strategic Management, Corporation",Local partner-International,2022,North East,0,1,Point,,1,2,12,11.6608,13.3957,4098416,20221214
Military Forces of Nigeria (2015-),State Security Forces,Islamic State (West Africa) and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Borno,Mafa,,,,1/10/2023 9:05,NIG29211,29211,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Maiwa Kura,"On 14 December 2022, Nigerian troops clashed with presumed ISWAP/ Boko Haram fighters at Maiwa Kura (Mafa, Borno). Casualties unknown.",Western Africa,"Risk and Strategic Management, Corporation",Local partner-International,2022,North East,0,1,Point,,1,2,12,11.8807,13.4459,4098415,20221214
Military Forces of Nigeria (2015-),State Security Forces,Islamic State (West Africa) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Borno,Konduga,,,,1/10/2023 9:05,NIG29151,29151,Armed clash,"Armed, organized groups engage in a battle, and no reports indicate a change in territorial control.",Battles,A violent interaction between two politically organized armed groups at a particular time and location.,Mandarari,"On 8 December 2022, Nigerian troops clashed with presumed ISWAP/ Boko Haram militants in the vicinity of Mandarari IDP camp (Konduga, Borno). One militant was killed, two others were arrested and one rifle was recovered.",Western Africa,"Risk and Strategic Management, Corporation",Local partner-International,2022,North East,1,1,Point,,1,2,12,11.6608,13.3957,4096637,20221208
