Newsfeed Country,Newsfeed Country UNDPRegion,Newsfeed CountryISO,Newsfeed DateDisplay,Newsfeed Description,Newsfeed Description2,Newsfeed Entity,Newsfeed IncidentType,Newsfeed Language,Newsfeed Link,Newsfeed Source,Newsfeed Source Description,Newsfeed Source Url,Newsfeed Source2,Newsfeed Trajectory,Date FK,Newsfeed Latitude,Newsfeed Longitude,Newsfeed PK
Nigeria,Africa,NGA,12/3/2022 8:54,Imo Police operatives repel attack on Orlu INEC office,,"Electoral Commission,Eastern Security Network,Mike Abattam",UNDP_Security,English,https://247ureports.com/2022/12/imo-police-operatives-repel-attack-on-orlu-inec-office/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,247ureports,,20221203,5.79565,7.03513,908
Nigeria,Africa,NGA,12/3/2022 8:54,Defence Headquarters accuses Reuters of blackmail,,"Maj.-Gen,Chibok School,Borno Government,Boko Haram,Rehabilitation Centre,Alexandra Zavis,UNICEF,Paul Julius Reuter,Nigerian military,Nigerian government",UNDP_Security,English,https://247ureports.com/2022/12/defence-headquarters-accuses-reuters-of-blackmail/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,247ureports,,20221203,9.05785,7.49508,909
Nigeria,Africa,NGA,12/3/2022 15:42,NRC To Resume Abuja-Kaduna Rail Operations On Monday,,"Fidet Okhiria,Boko Haram,Railway Corporation",UNDP_Conflict,English,https://www.africanexaminer.com/nrc-to-resume-abuja-kaduna-rail-operations-on-monday/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,africanexaminer,,20221203,10.52641,7.43879,910
Nigeria,Africa,NGA,12/3/2022 15:42,NRC To Resume Abuja-Kaduna Rail Operations On Monday,,"Fidet Okhiria,Boko Haram,Railway Corporation",UNDP_TerroristAttack,English,https://www.africanexaminer.com/nrc-to-resume-abuja-kaduna-rail-operations-on-monday/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,africanexaminer,,20221203,10.52641,7.43879,911
Nigeria,Africa,NGA,12/3/2022 17:02,Which diet is best for me? DailyMail.com weighs the pros and cons of seven top fad diets,,"University of Illinois, Chicago,Hannah Holscher,DailyMail,Elon Musk,Kim Kardashian,Joe Rogan,LeBron James,Halle Berry,Shawn Baker,Jack Dorsey,Jordan Peterson,University of Illinois,Megan Fox,Hugh Jackman",UNDP_ScienceandTechnology,English,https://www.businesstelegraph.co.uk/which-diet-is-best-for-me-dailymail-com-weighs-the-pros-and-cons-of-seven-top-fad-diets/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,businesstelegraph,,20221203,45.41117,-75.69812,912
Nigeria,Africa,NGA,12/3/2022 0:20,Truth for our natural intelligence readers,,,UNDP_ScienceandTechnology,English,https://www.businesstelegraph.co.uk/truth-for-our-natural-intelligence-readers/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,businesstelegraph,,20221203,,,913
Nigeria,Africa,NGA,12/3/2022 0:03,"Osinbajo inaugurates Omeife, Africa’s first humanoid",,"Yemi Osinbajo,News Agency,Isa Pantami,Development Agency,Federal Government",UNDP_ScienceandTechnology,English,https://dailynigerian.com/osinbajo-inaugurates-omeife/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,dailynigerian,,20221203,9.05785,7.49508,914
Nigeria,Africa,NGA,12/3/2022 8:07,2023: Zamfara INEC assures adequate arrangements for IDPs,,"Electoral Commission,The Independent",UNDP_Society,English,https://dailypost.ng/2022/12/03/2023-zamfara-inec-assures-adequate-arrangements-for-idps/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,dailypost,,20221203,12.16667,6.25,915
Nigeria,Africa,NGA,12/3/2022 8:59,"Borno: Eight killed as farmers, herders clash in Bayo",,"Local Council,Yemi Osinbajo,Fidet Okhiria,Ifeanyi Ugwuanyi,Nigerian Army,News Agency,State House,Godwin Obaseki,Railway Corporation,PHILIP OJISUA,Babagana Zulum,Femi Adesina,Umar Musa",UNDP_Conflict,English,https://guardian.ng/news/borno-eight-killed-as-farmers-herders-clash-in-bayo/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,guardian-ng,,20221203,9.05785,7.49508,916
Nigeria,Africa,NGA,12/3/2022 7:00,"Negligence of Human Rights responsible for Nigeria’s many challenges, says UN",,"Clement Agba,United Nations,Human Rights Commission,Anthony Ojukwu,Nigerian government",UNDP_Society,English,https://guardian.ng/news/negligence-of-human-rights-responsible-for-nigerias-many-challenges-says-un/,EMM,"The freely accessible Europe Media Monitor (EMM), by the The European Commission's science and knowledge service is a fully automatic system that analyses both traditional and social media. It gathers and aggregates about 300,000 news articles per day from news portals world-wide in up to 70 languages.",http://emm.newsbrief.eu/NewsBrief,guardian-ng,,20221203,9.05785,7.49508,917
